year_value,site_id,depth_to_gw_ft,depth_to_gw_m,year_type_id,metric_id,Aq_type,trend_type,POI_type_ID,latitude,longitude,location_name,data_source,bbox_side,open_et_version,scaled_annual_et_avg
2000,KSGS.371852100505801,239.39,72.966072,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,781.134
2001,KSGS.371852100505801,241.96,73.749408,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,859.635
2002,KSGS.371852100505801,242.78,73.999344,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,787.151
2003,KSGS.371852100505801,246.71,75.197208,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,836.748
2004,KSGS.371852100505801,247.71,75.502008,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,666.882
2005,KSGS.371852100505801,246.96,75.273408,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,831.898
2006,KSGS.371852100505801,248.07,75.611736,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,840.448
2007,KSGS.371852100505801,249.56,76.065888,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,815.141
2008,KSGS.371852100505801,252.74,77.035152,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,808.424
2009,KSGS.371852100505801,254.04,77.431392,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,759.258
2010,KSGS.371852100505801,255.87,77.989176,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,745.527
2011,KSGS.371852100505801,257.2,78.39456,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,804.447
2012,KSGS.371852100505801,263.27,80.244696,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,713.223
2013,KSGS.371852100505801,266.14,81.119472,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,784.084
2014,KSGS.371852100505801,269.79,82.231992,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,831.498
2015,KSGS.371852100505801,271.88,82.869024,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,893.543
2016,KSGS.371852100505801,272.95,83.19516,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,791.494
2017,KSGS.371852100505801,273.12,83.246976,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,674.263
2018,KSGS.371852100505801,274.94,83.801712,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,803.025
2019,KSGS.371852100505801,276.45,84.26196,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.0,823.101
2020,KSGS.371852100505801,276.24,84.197952,water,mean,unconfined,annual mean,2000.0,37.31502,-100.8505,,USGS,1,2.1,888.307
