time,monthly_et_avg,site,latitude,longitude,bbox_side,open_et_version,year
2000-01-01,12.573,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-02-01,27.326,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-03-01,40.734,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-04-01,55.314,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-05-01,104.492,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-06-01,117.699,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-07-01,160.454,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-08-01,150.187,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-09-01,65.685,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-10-01,22.386,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-11-01,16.788,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2000-12-01,7.496,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2001-01-01,12.349,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-02-01,17.789,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-03-01,44.503,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-04-01,58.11,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-05-01,70.317,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-06-01,163.994,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-07-01,198.637,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-08-01,152.994,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-09-01,73.598,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-10-01,31.304,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-11-01,21.797,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2001-12-01,14.243,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2002-01-01,12.61,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-02-01,28.268,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-03-01,49.408,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-04-01,61.153,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-05-01,97.777,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-06-01,134.555,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-07-01,151.431,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-08-01,125.828,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-09-01,73.785,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-10-01,26.824,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-11-01,14.829,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2002-12-01,10.683,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2003-01-01,14.597,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-02-01,25.464,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-03-01,39.149,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-04-01,36.81,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-05-01,52.242,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-06-01,138.673,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-07-01,202.843,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-08-01,170.971,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-09-01,86.041,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-10-01,34.287,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-11-01,18.7,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2003-12-01,16.971,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2004-01-01,8.347,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-02-01,12.106,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-03-01,34.77,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-04-01,60.957,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-05-01,87.632,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-06-01,98.526,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-07-01,144.501,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-08-01,110.221,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-09-01,58.345,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-10-01,21.526,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-11-01,9.559,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2004-12-01,20.392,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2004
2005-01-01,26.749,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-02-01,36.818,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-03-01,41.508,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-04-01,69.254,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-05-01,85.562,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-06-01,153.981,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-07-01,179.948,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-08-01,117.34,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-09-01,64.342,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-10-01,22.196,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-11-01,21.763,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2005-12-01,12.437,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2005
2006-01-01,14.717,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-02-01,11.516,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-03-01,39.54,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-04-01,62.945,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-05-01,71.739,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-06-01,157.912,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-07-01,191.757,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-08-01,138.515,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-09-01,75.97,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-10-01,35.913,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-11-01,19.242,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2006-12-01,20.682,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2006
2007-01-01,13.391,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-02-01,21.157,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-03-01,37.006,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-04-01,66.697,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-05-01,89.906,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-06-01,116.632,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-07-01,164.986,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-08-01,147.249,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-09-01,71.782,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-10-01,47.391,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-11-01,23.578,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2007-12-01,15.366,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2007
2008-01-01,13.902,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-02-01,22.864,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-03-01,43.375,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-04-01,68.757,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-05-01,71.288,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-06-01,135.467,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-07-01,173.93,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-08-01,136.595,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-09-01,88.967,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-10-01,23.355,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-11-01,15.593,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2008-12-01,14.331,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2008
2009-01-01,16.063,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
2009-02-01,20.836,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
2009-03-01,35.809,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
2009-04-01,48.187,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
2009-05-01,56.873,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
2009-06-01,114.268,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2009
