time,et,site,latitude,longitude,bbox_side,open_et_version,year
1/1/00,12.573,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
2/1/00,27.326,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
3/1/00,40.734,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
4/1/00,55.314,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
5/1/00,104.492,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
6/1/00,117.699,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
7/1/00,160.454,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
8/1/00,150.187,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
9/1/00,65.685,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
10/1/00,22.386,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
11/1/00,16.788,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
12/1/00,7.496,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2000
1/1/01,12.349,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
2/1/01,17.789,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
3/1/01,44.503,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
4/1/01,58.11,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
5/1/01,70.317,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
6/1/01,163.994,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
7/1/01,198.637,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
8/1/01,152.994,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
9/1/01,73.598,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
10/1/01,31.304,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
11/1/01,21.797,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
12/1/01,14.243,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2001
1/1/02,12.61,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
2/1/02,28.268,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
3/1/02,49.408,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
4/1/02,61.153,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
5/1/02,97.777,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
6/1/02,134.555,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
7/1/02,151.431,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
8/1/02,125.828,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
9/1/02,73.785,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
10/1/02,26.824,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
11/1/02,14.829,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
12/1/02,10.683,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2002
1/1/03,14.597,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
2/1/03,25.464,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
3/1/03,39.149,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
4/1/03,36.81,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
5/1/03,52.242,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
6/1/03,138.673,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
7/1/03,202.843,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
8/1/03,170.971,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
9/1/03,86.041,KSGS.371852100505801,37.31502,-100.8505,1,2.0,2003
